FSscore,KHscore,PPHHSIZE,PPINCIMP,SAVINGSRANGES,agecat,PPEDUC,EMPLOY,FWBscore
42,-1.485,4,7,4,1,2,3,49
33,0.712,2,6,3,4,3,2,44
85,-1.9,4,3,3,3,2,4,77
56,1.267,2,4,5,7,4,8,63
58,1.267,2,8,5,4,5,1,52
67,0.242,1,7,6,5,4,8,79
53,1.267,2,8,5,8,5,8,59
82,1.267,2,9,5,2,4,2,79
50,0.712,1,6,5,6,4,8,54
42,-0.909,1,4,5,8,2,8,57
45,-1.485,2,1,3,1,2,5,47
76,1.267,2,7,7,7,5,8,84
38,0.242,2,2,2,6,2,8,26
46,-0.188,1,2,4,8,1,8,78
16,-0.909,4,8,1,3,3,2,39
45,0.242,2,7,4,1,4,2,48
63,-0.188,3,8,4,3,5,2,59
49,0.242,2,3,4,7,3,8,49
46,-0.188,4,8,4,4,2,2,53
47,-0.188,4,8,6,3,5,2,47
44,1.267,2,6,6,8,2,8,62
41,0.242,4,5,2,6,3,8,43
79,-0.188,2,6,4,1,3,2,56
34,-0.188,1,1,3,7,2,8,45
85,1.267,1,7,5,7,5,8,63
42,-0.188,3,6,6,4,2,4,44
56,-0.57,2,7,4,6,5,8,54
10,-1.215,1,1,1,2,2,3,14
64,0.242,1,2,7,6,2,8,75
29,-0.57,4,8,1,5,2,2,30
60,0.712,1,9,7,3,5,2,70
50,-0.909,3,3,4,5,3,2,38
49,-1.485,2,1,1,4,2,7,42
43,0.242,1,2,4,5,3,1,51
62,1.267,2,8,7,8,4,8,69
69,0.712,3,8,3,4,3,2,45
41,0.712,1,8,3,7,5,8,43
30,-1.485,1,1,1,5,2,6,38
49,1.267,2,7,5,8,1,8,63
43,0.712,3,5,4,5,3,2,55
59,0.242,2,4,5,8,2,4,58
40,0.242,1,1,3,5,3,6,43
42,-1.485,3,2,1,3,2,2,49
69,-0.57,1,6,3,3,2,2,60
46,0.712,2,5,6,8,3,8,62
48,-0.909,1,2,7,8,2,8,60
46,-1.215,1,7,2,2,5,2,55
52,-0.188,5,3,1,2,3,2,30
71,1.267,3,9,7,2,5,7,47
37,0.242,1,1,2,1,1,4,23
57,-0.57,2,3,4,8,1,8,54
85,1.267,4,9,5,3,5,2,86
31,0.242,1,1,4,1,3,5,40
39,-0.188,4,3,6,4,3,2,41
38,-0.57,1,7,5,7,2,8,49
49,0.242,2,8,5,7,5,8,66
59,0.712,3,9,6,5,5,2,77
50,1.267,2,6,6,7,3,8,60
65,0.242,2,4,6,7,2,8,65
43,-0.57,3,4,3,5,2,6,37
52,0.242,3,8,4,4,3,2,62
60,0.242,4,8,2,4,2,1,50
60,0.242,1,9,7,5,5,4,73
35,-0.188,1,2,5,1,4,2,51
31,-0.188,2,7,4,4,3,3,45
85,-0.188,3,8,7,2,2,2,86
56,-1.215,5,2,3,2,2,7,47
65,0.712,5,7,2,2,4,2,49
58,0.242,2,8,6,4,2,2,65
28,-0.57,2,4,1,4,2,2,40
45,-0.57,2,3,7,5,2,3,61
38,0.712,2,9,5,2,3,2,48
46,0.712,2,8,6,5,5,2,62
60,-0.57,2,3,7,8,2,8,74
49,-0.57,2,4,3,7,3,8,26
62,0.242,5,6,5,3,2,4,58
56,-0.188,2,8,4,2,5,2,60
61,0.712,3,5,2,5,3,1,34
39,-1.713,2,9,4,1,3,3,43
41,0.242,1,2,4,2,4,2,31
59,1.267,2,5,5,2,2,2,61
43,-0.909,3,9,4,1,3,5,51
43,0.242,2,6,6,8,5,8,65
47,0.712,2,2,4,1,3,2,62
39,0.242,1,5,4,5,4,2,43
44,0.712,4,6,4,4,3,3,56
47,-0.909,2,7,5,2,4,3,60
57,0.242,3,7,3,2,3,2,49
42,-0.909,1,6,4,2,3,2,51
64,-0.188,2,6,5,1,3,2,68
38,-0.909,2,4,1,4,2,6,33
62,0.242,1,7,5,1,4,2,58
43,1.267,4,9,5,4,4,2,57
43,-0.909,4,2,3,3,4,4,49
44,0.712,5,9,4,4,4,2,46
42,-0.188,5,9,4,1,3,5,49
56,-0.188,2,8,6,4,2,4,72
59,0.242,2,9,4,5,5,1,59
66,1.267,3,9,5,4,5,1,68
71,1.267,4,9,6,3,4,1,63
50,0.712,2,7,5,7,4,8,53
71,0.712,2,9,7,4,3,2,65
85,0.242,3,8,6,2,4,2,78
63,0.712,2,4,5,3,3,5,63
54,-0.188,1,1,5,8,3,8,49
47,-0.57,2,3,1,2,2,2,45
57,0.712,2,9,7,7,5,1,67
76,-0.188,2,8,6,2,5,2,70
28,0.242,4,8,3,4,3,2,31
60,0.712,4,2,6,2,5,1,51
54,0.242,2,7,5,3,3,2,61
55,0.242,2,8,5,2,4,2,60
41,-0.188,1,7,7,2,5,2,49
56,-0.57,2,7,6,6,3,8,74
46,0.242,2,5,1,1,3,7,32
51,-1.215,1,1,1,4,1,1,38
73,-1.215,5,2,3,3,3,2,60
42,-0.909,4,7,4,2,2,2,44
48,-0.57,4,2,3,2,3,4,51
53,0.712,1,4,5,3,3,2,50
40,-0.57,2,3,6,8,2,8,52
56,0.712,2,9,6,8,5,8,86
48,1.267,3,5,7,6,5,8,75
45,0.712,1,7,3,2,5,2,66
51,1.267,2,7,6,7,3,8,72
43,0.712,1,6,3,5,2,1,56
69,0.242,1,6,6,7,4,2,72
50,-0.188,1,8,3,1,3,2,42
66,-1.713,1,4,3,4,3,2,57
54,-0.57,3,8,2,4,3,2,40
42,0.242,5,8,6,3,3,1,49
51,1.267,3,9,7,3,4,2,62
75,1.267,1,8,7,5,5,8,78
55,0.712,2,6,7,6,4,8,85
55,-0.57,2,6,5,6,3,8,62
52,-0.57,3,4,4,2,3,4,23
57,1.267,4,9,7,4,5,2,69
59,-0.909,3,4,4,3,3,2,58
63,-1.9,1,2,1,2,3,4,26
46,0.242,2,8,6,2,5,2,63
52,-0.57,4,8,3,3,3,1,57
45,-0.188,4,2,4,5,4,2,61
28,-1.215,3,2,1,2,1,4,25
29,-0.57,3,2,3,7,1,8,54
32,-0.57,3,1,4,6,1,4,51
39,-1.713,2,7,3,4,3,7,42
49,0.242,2,8,4,3,5,2,58
55,-1.215,1,1,1,2,3,4,36
74,0.242,2,8,7,8,5,3,68
47,-1.485,3,1,1,2,3,7,52
29,-0.188,3,3,4,3,3,2,51
85,-0.188,2,1,1,5,4,8,86
64,1.267,2,7,6,2,4,4,72
42,-0.909,3,3,2,1,3,5,41
56,0.712,1,8,7,2,4,2,61
46,1.267,2,5,5,6,2,8,48
82,1.267,2,9,5,2,4,2,66
30,0.242,4,1,1,2,3,5,59
47,1.267,2,9,7,4,5,1,52
40,-1.215,5,3,3,2,3,4,43
56,-0.188,2,8,5,2,5,2,74
42,0.712,4,7,3,3,4,2,51
43,-0.188,3,8,6,2,4,2,45
45,-0.188,2,5,3,6,2,8,44
79,-0.188,2,9,7,4,4,2,59
54,1.267,5,8,3,3,5,2,52
49,1.267,3,7,5,6,3,1,59
30,-0.909,4,9,4,4,3,2,42
59,0.242,1,8,5,2,4,2,58
58,0.242,5,3,3,3,1,4,61
58,0.712,2,7,5,6,4,1,64
54,0.712,2,9,7,7,4,8,77
65,-1.215,2,2,4,2,3,5,40
55,-0.188,5,5,5,2,2,4,46
65,-0.188,2,6,6,2,5,2,66
53,-0.909,3,3,3,2,2,2,52
71,1.267,2,6,5,2,5,5,86
82,0.712,5,6,5,4,4,1,54
65,0.712,2,8,6,2,2,2,69
69,1.267,2,7,7,7,5,8,78
50,1.267,2,9,5,6,3,2,53
47,1.267,2,6,5,3,5,1,44
54,-0.188,3,7,6,4,2,2,70
55,-1.215,1,9,7,5,3,8,70
85,1.267,2,8,6,2,4,1,86
56,-0.188,2,7,5,6,4,1,51
58,-0.188,4,9,7,1,3,5,77
52,0.712,2,8,5,6,4,2,67
56,-0.57,3,9,1,2,5,2,39
70,-0.909,5,3,4,3,2,4,72
54,1.267,3,9,4,2,4,2,68
78,0.712,2,7,6,5,3,2,72
85,-0.57,2,8,5,4,3,2,74
67,0.242,2,7,6,2,4,2,55
34,-0.909,2,5,3,5,2,4,44
48,-0.57,2,6,2,2,3,5,34
59,-0.188,1,7,1,3,5,2,52
55,0.242,2,5,4,2,3,3,56
64,-1.215,5,1,1,2,2,4,49
43,-0.909,1,3,3,2,4,2,56
42,-0.188,1,2,5,7,5,3,57
56,-0.188,3,7,7,4,3,6,61
45,-0.909,1,5,2,2,3,2,47
63,1.267,2,9,7,4,3,2,61
23,-0.909,1,1,1,6,2,8,51
67,-0.188,2,3,6,6,2,8,71
5,0.242,3,1,1,1,2,7,14
35,0.712,3,3,4,4,2,4,58
55,1.267,2,8,7,8,5,8,95
60,0.242,2,8,4,5,5,1,65
36,-1.485,2,5,3,1,3,5,49
51,-1.215,3,5,3,3,3,2,46
38,0.712,2,5,5,5,3,2,53
56,0.242,2,9,4,6,2,2,63
85,0.712,1,9,7,5,5,1,86
52,0.712,2,5,6,7,3,8,61
46,1.267,2,6,7,7,2,7,69
63,0.712,2,6,5,4,2,2,84
35,-0.57,2,7,4,2,4,2,47
49,-0.188,2,7,4,6,2,2,64
38,0.712,2,8,3,3,2,4,42
53,0.712,1,7,3,6,4,8,57
58,-0.188,5,3,1,1,2,4,44
34,-1.215,5,1,1,1,1,7,41
44,0.242,2,8,6,6,3,1,67
49,0.712,2,8,6,6,5,2,63
27,0.242,3,3,4,4,2,2,51
55,0.712,4,8,7,4,4,2,65
42,-0.57,4,4,1,3,3,2,42
85,-1.215,2,8,5,1,5,2,44
44,-0.57,2,9,5,2,5,2,60
85,-0.909,1,1,3,4,3,6,51
59,-0.188,3,3,3,3,3,2,34
45,-0.188,3,6,4,2,3,2,57
57,-1.215,3,2,2,2,3,2,52
58,-0.188,5,9,5,4,5,2,57
50,-0.188,5,7,3,1,3,5,58
45,-0.188,5,7,5,2,4,2,47
24,0.242,5,2,1,6,2,8,26
41,0.242,3,6,2,4,3,2,38
58,0.712,3,9,7,5,5,2,64
24,-1.215,4,1,1,2,2,7,35
34,0.712,5,7,5,2,2,2,47
50,0.712,2,8,6,3,3,2,59
39,-0.188,3,4,3,3,4,2,42
45,-1.215,2,9,5,1,3,1,35
47,-0.188,2,3,2,3,4,7,27
47,0.242,5,2,4,2,3,2,35
44,0.712,2,8,4,2,5,2,46
43,0.712,2,9,5,2,5,2,63
82,1.267,1,9,7,6,5,8,74
34,-0.57,2,4,6,5,1,2,58
58,-0.57,3,3,2,4,3,2,42
49,1.267,2,8,5,6,3,1,63
41,-0.909,2,4,4,2,3,2,45
54,0.712,4,8,5,2,5,2,61
40,0.712,2,4,5,6,5,2,49
56,0.712,1,8,7,5,2,2,59
58,-0.57,2,5,4,1,3,2,51
42,-0.188,1,8,4,3,2,2,55
52,1.267,2,7,5,4,1,6,40
51,1.267,2,6,7,8,4,1,67
43,-0.909,1,1,3,4,1,2,54
51,-0.57,5,6,7,7,2,8,65
32,-0.909,4,6,4,1,2,5,54
62,0.242,3,9,7,2,5,2,59
44,-0.57,3,6,4,2,3,2,50
49,-0.909,2,5,2,4,3,2,39
26,-0.57,2,3,2,4,2,6,51
54,0.712,2,6,4,1,4,5,53
44,0.242,2,9,4,2,5,2,62
47,1.267,2,3,5,3,2,1,58
42,-1.215,4,2,2,1,3,3,50
55,0.242,2,8,6,6,2,8,57
45,1.267,5,8,7,6,5,8,69
49,0.712,3,5,4,4,3,2,64
45,1.267,1,3,2,3,3,2,31
51,-1.485,2,5,2,1,2,2,49
36,-0.909,2,1,2,3,4,7,40
55,1.267,3,6,5,5,4,2,58
59,0.712,2,7,6,6,5,8,71
52,0.242,4,7,5,4,2,2,66
65,0.712,1,8,5,2,5,2,51
60,0.242,3,3,3,4,5,1,26
62,0.712,4,6,2,3,3,1,45
44,0.712,2,9,6,5,3,2,58
53,0.242,1,5,3,2,4,2,38
58,0.242,4,9,6,4,3,2,69
49,0.242,2,6,7,8,3,8,59
57,1.267,5,9,7,6,5,8,62
55,-0.188,3,6,6,4,3,1,69
50,0.242,1,8,5,6,4,8,61
78,0.712,1,8,7,2,5,2,86
63,0.242,2,9,7,2,4,2,72
44,1.267,1,3,1,8,2,8,47
64,0.712,1,8,7,6,5,3,80
57,-0.909,3,8,4,1,5,2,64
46,-0.57,5,5,4,1,3,5,55
46,0.242,1,6,6,6,5,8,75
60,0.242,2,7,7,8,4,8,66
72,1.267,2,1,7,6,4,8,84
64,0.712,3,5,5,2,4,2,65
61,0.712,2,5,7,8,4,8,68
49,-0.188,1,2,5,7,2,8,46
67,1.267,3,9,5,2,4,2,67
70,-0.188,2,2,1,6,3,8,29
42,-0.57,4,6,5,2,4,4,52
49,0.242,2,8,5,6,2,2,68
46,-0.188,2,9,5,4,3,7,50
55,0.712,2,4,5,6,5,1,51
56,0.242,1,8,7,6,2,1,65
45,0.712,1,6,7,8,2,8,95
43,-0.188,5,7,6,2,3,2,66
62,-0.57,2,3,7,6,2,3,67
77,1.267,4,7,4,4,5,2,77
53,0.712,2,9,6,2,5,2,67
56,-0.188,2,6,6,2,5,5,59
56,0.712,2,9,6,8,5,8,86
79,-1.485,1,1,1,4,1,8,39
75,0.242,2,5,3,6,4,1,28
56,-0.188,3,9,6,4,3,2,78
64,0.242,2,1,4,8,3,8,79
56,-0.57,2,7,5,3,2,6,39
47,1.267,4,9,6,3,4,2,64
51,-0.188,2,8,7,5,3,1,64
42,-0.909,2,1,1,2,1,7,43
60,1.267,1,7,7,8,5,8,83
39,1.267,2,7,5,7,1,8,59
52,0.712,1,1,5,6,4,8,38
46,0.712,3,8,1,2,5,2,26
32,-1.215,5,8,2,3,3,7,29
62,-0.188,2,8,6,8,2,8,85
56,0.242,5,3,2,1,3,7,30
82,-0.909,4,3,1,2,2,4,39
52,0.242,3,7,4,1,1,5,56
45,-0.188,1,7,7,5,2,2,75
50,-0.188,2,1,2,2,2,2,31
31,1.267,3,8,7,4,3,7,36
46,1.267,5,9,5,3,5,2,54
57,0.242,3,8,4,4,3,8,51
58,1.267,2,6,5,7,3,8,71
57,0.712,2,3,6,6,2,8,62
47,0.712,1,5,5,2,4,2,59
34,0.242,5,1,1,3,3,2,39
67,1.267,4,9,6,5,5,2,62
53,0.242,5,7,5,3,4,4,58
28,0.242,1,9,1,2,2,2,30
64,1.267,2,8,6,4,4,2,61
44,-0.188,3,6,2,6,2,8,55
54,0.242,4,4,3,1,3,5,58
47,0.712,2,7,4,2,5,2,65
59,1.267,2,8,6,6,4,8,63
40,-0.188,2,4,4,6,1,6,53
57,0.242,1,3,5,6,4,8,73
49,1.267,1,1,1,6,3,7,19
46,0.242,4,8,5,3,5,2,83
70,0.242,2,8,7,8,4,8,79
41,-0.57,4,9,3,1,4,5,45
47,0.242,3,8,4,1,3,2,73
40,-0.909,2,6,7,4,2,2,82
39,-0.57,3,8,3,4,3,2,51
42,0.712,2,7,6,4,5,1,61
53,1.267,4,8,7,3,5,2,62
53,1.267,2,8,7,7,5,8,88
62,-1.215,2,1,3,1,2,1,35
42,0.712,5,3,7,4,3,6,53
54,0.712,2,7,5,3,4,2,55
42,0.242,1,3,7,8,2,8,77
74,-0.188,1,4,7,4,2,2,72
46,-0.188,1,4,4,6,2,8,49
60,0.242,1,6,7,6,5,8,65
44,-0.909,2,8,2,5,2,2,50
45,-0.909,3,8,5,1,3,5,54
43,0.712,2,9,6,6,5,3,65
69,1.267,5,8,7,2,4,2,83
42,-0.188,3,8,4,3,5,3,56
66,0.712,1,5,7,6,3,2,71
52,0.242,1,2,4,6,3,8,44
55,-1.485,1,2,5,8,2,8,70
56,-0.188,2,7,4,2,4,2,58
41,-0.909,1,3,4,2,3,2,45
41,-0.909,4,8,5,4,4,2,57
38,0.712,2,9,6,4,3,2,29
46,0.712,1,8,6,4,5,2,53
52,-1.485,1,2,6,7,3,8,60
85,-1.485,5,5,4,3,2,2,81
65,-0.57,5,6,3,2,3,2,59
47,0.242,1,9,7,6,4,2,72
45,0.242,2,9,4,5,3,8,34
61,1.267,1,2,7,7,4,1,67
57,0.242,2,5,6,7,2,8,68
44,0.242,5,8,2,3,3,2,50
52,-1.9,2,9,3,3,4,1,35
57,1.267,2,9,7,7,5,8,79
44,-0.57,2,3,3,2,3,2,46
55,0.712,1,4,7,8,2,8,72
40,-0.188,5,6,4,3,3,1,56
48,1.267,2,1,3,4,3,6,37
55,-1.215,2,3,4,2,3,5,53
48,0.242,2,9,7,5,4,2,55
49,-0.188,3,7,2,4,3,4,27
60,0.712,2,9,7,3,4,2,60
44,0.712,2,6,4,6,3,6,51
61,0.712,2,5,7,8,3,8,77
47,0.712,4,9,6,2,5,2,58
68,1.267,2,9,7,8,5,8,81
56,0.242,4,9,5,4,4,2,67
65,1.267,4,7,6,2,4,2,70
56,-0.57,3,1,3,4,3,3,37
53,1.267,3,9,5,5,3,2,69
51,0.712,2,5,5,4,2,2,57
40,-0.57,2,6,6,8,3,8,53
63,-0.188,2,2,6,8,4,8,89
48,0.242,1,3,5,7,5,8,58
71,0.712,2,9,7,6,3,2,63
44,0.242,3,9,7,7,5,8,53
35,0.242,4,7,6,3,2,2,69
50,0.712,1,2,4,2,5,3,59
62,0.712,3,9,4,4,5,2,63
46,0.712,1,8,7,4,5,2,51
59,-0.188,5,4,4,3,3,3,51
49,0.242,3,7,4,4,5,3,54
42,0.242,2,5,4,5,3,8,31
35,0.712,2,9,5,6,3,8,45
42,0.242,1,6,6,3,4,2,51
65,1.267,2,9,7,3,5,2,57
76,0.712,2,9,7,3,4,2,67
57,0.242,3,9,5,2,5,3,58
70,-0.188,1,9,7,8,2,8,82
53,-0.188,4,1,3,3,3,4,55
53,0.242,2,7,5,6,5,8,58
45,1.267,2,9,7,6,5,3,74
46,0.242,4,9,5,4,5,3,55
65,0.712,4,9,7,4,3,8,64
43,0.712,2,5,6,6,4,8,54
71,1.267,2,5,5,8,3,8,85
55,0.712,5,9,6,3,3,2,70
72,0.242,2,5,5,7,5,8,95
52,-0.57,4,1,2,2,2,4,55
65,1.267,2,8,6,6,5,2,63
33,-1.713,3,2,1,2,2,2,33
82,-0.188,5,5,3,1,2,4,62
29,1.267,4,9,4,5,2,3,44
50,0.712,3,9,7,7,5,8,65
70,0.242,2,9,7,2,4,2,72
67,0.242,2,7,5,6,5,8,76
61,-0.57,4,3,5,2,2,4,61
53,0.712,2,8,4,2,5,2,67
34,-1.485,5,8,6,2,3,4,55
50,-0.188,2,6,4,8,4,8,48
85,0.242,3,7,6,5,2,2,79
47,-0.57,2,2,5,6,3,8,69
44,0.712,2,8,4,6,4,8,55
41,0.712,2,7,4,4,2,2,54
51,0.712,2,4,6,7,1,8,59
45,-0.188,3,3,5,1,4,7,56
59,1.267,2,4,7,8,5,8,80
53,1.267,1,1,3,3,4,2,53
38,0.242,2,9,6,2,5,2,61
58,-0.188,3,8,6,8,2,8,63
58,0.242,1,6,6,2,4,2,60
58,-0.188,5,9,3,1,4,5,55
55,-0.909,5,5,3,2,4,2,55
57,0.712,5,8,7,4,5,8,72
43,0.242,2,6,7,6,3,8,63
41,0.712,3,8,4,7,5,8,68
56,-0.188,3,9,4,1,4,5,50
54,0.242,4,4,3,2,3,2,37
49,-0.57,4,7,3,3,3,2,58
46,0.242,2,7,5,8,4,8,56
56,0.242,2,5,7,8,3,8,63
85,-0.188,5,1,2,4,3,2,57
69,0.242,2,9,7,3,3,2,71
61,1.267,4,9,4,6,3,3,63
47,0.712,2,9,6,6,5,2,71
51,1.267,2,7,5,8,4,8,67
50,0.242,1,4,5,2,3,2,63
40,-1.215,4,7,4,3,1,4,50
39,0.712,3,6,5,2,4,2,43
73,1.267,1,9,6,5,3,2,64
37,0.242,2,6,4,6,3,2,51
40,-0.909,2,2,4,8,2,8,52
33,-0.909,3,4,1,2,2,3,33
52,-0.57,4,9,5,4,5,2,65
56,-0.188,1,3,4,6,3,8,66
60,0.712,2,8,4,6,4,8,74
75,-0.188,2,6,5,4,5,2,67
29,-0.909,1,1,2,4,1,7,40
70,1.267,5,8,6,3,4,2,75
61,0.242,2,8,5,2,3,2,65
48,1.267,2,8,7,6,3,8,62
52,-0.188,2,8,5,7,4,8,54
45,0.712,1,8,4,4,3,2,58
51,0.712,2,6,4,8,5,8,56
52,0.242,2,1,6,6,3,3,48
33,0.242,2,2,6,6,3,6,55
56,1.267,2,7,5,6,5,8,74
55,0.242,5,6,1,2,1,6,41
40,-0.57,2,8,7,4,5,2,56
56,-0.188,2,3,5,6,3,3,50
48,1.267,1,9,4,4,5,2,60
41,0.712,1,3,7,6,4,8,52
35,0.712,2,8,6,7,5,8,57
68,-0.57,1,3,5,8,2,8,84
42,-1.485,2,2,2,4,2,2,48
47,-0.57,1,1,4,7,2,8,61
80,-0.57,4,6,4,6,3,3,42
82,-0.57,2,4,5,4,2,8,76
71,0.242,1,5,6,8,5,8,75
67,0.712,2,7,7,8,5,1,72
71,1.267,2,9,7,5,5,1,86
50,0.712,2,8,6,6,5,2,57
59,0.712,5,2,3,1,3,2,41
49,1.267,1,8,5,6,4,2,62
39,-0.188,2,3,4,7,3,8,42
48,0.712,2,8,6,6,3,2,58
29,-1.485,2,1,1,4,2,3,16
39,-1.485,5,5,4,2,2,4,30
50,0.712,2,7,5,8,3,8,68
43,-0.909,2,6,3,2,4,7,36
24,-0.57,1,3,3,3,2,2,26
51,0.712,2,9,6,3,5,2,56
55,0.242,2,6,5,8,3,8,61
54,-0.188,2,7,6,6,2,1,69
58,0.712,2,5,5,6,5,8,63
37,-0.188,2,7,5,5,2,3,48
43,-1.215,2,1,1,2,1,7,38
57,-0.57,4,3,3,3,3,2,36
71,0.242,2,7,7,6,2,8,70
33,0.242,5,3,3,3,2,6,31
32,0.242,4,7,4,3,3,2,49
43,-1.215,2,5,2,4,3,7,31
52,0.712,2,9,5,5,4,2,75
60,0.242,2,9,5,7,5,2,69
58,-0.57,5,8,5,3,5,2,59
42,-1.485,3,7,5,4,2,2,49
53,0.712,3,8,7,5,3,2,63
70,0.712,4,9,5,4,4,2,54
41,0.242,2,7,5,5,4,7,44
39,-0.909,2,1,1,2,1,7,33
85,0.242,1,9,6,4,4,2,78
44,-1.215,2,7,6,4,2,2,48
44,-0.57,1,1,1,6,3,8,45
60,0.712,1,6,4,5,5,8,65
42,0.242,2,4,5,8,2,8,61
63,1.267,2,9,7,8,3,8,63
77,0.242,2,8,6,6,3,2,77
44,-0.57,3,1,2,4,2,7,33
80,-1.215,5,3,3,2,2,2,59
45,0.712,2,4,6,7,3,8,54
45,-0.57,2,4,7,8,2,8,61
53,0.242,3,9,7,5,2,8,61
52,0.712,2,5,5,6,5,8,63
59,-0.188,1,8,7,8,4,8,88
29,0.712,5,8,5,6,3,2,65
56,0.712,3,8,5,5,5,2,77
45,-1.215,4,5,2,3,2,2,43
45,-0.909,2,8,5,6,2,2,63
63,-1.215,2,3,3,2,1,6,49
54,-0.909,5,3,2,3,2,6,38
79,-1.485,3,8,4,1,3,2,54
43,0.712,2,7,7,8,4,8,55
45,-0.188,2,6,6,6,3,8,55
58,-0.188,5,7,5,2,4,2,74
42,-1.713,1,7,3,4,4,2,49
46,-0.909,3,5,2,2,3,5,39
